TB to T-Mobile days!! 🥺❤️
We're gearing up for T-Mobile's New Year's at the Needle -- but until then, you can meet Santa from the sky 💙 #k5evening
I recently switched to T-mobile on a prepaid monthly unlimited plan. I was told HotSpot was included and unlimited and that was the driver for my switch. Now I CANNOT use the hotspot as I cannot connect to the internet and I checked the speed is 0.1 mbps for  downloads... i think this is false advertising
When Elf on the Shelf gets to the party...  T-Mobile #techexperience #party #funatwork
Galaxy note 9
